name,url,product_id,price,price_numeric,currency,main_image,image_alt,color_count,color_images,category,scraped_at,source_url,website,color_images_count,morphology,occasion_type
TRENCH-COAT,https://www.zen.com.tn/fr/produit/4220-trench-coat,4220.0,83.93 TND119.90 TND,83.93,TND,https://images.zen.com.tn/uploads/8_U2_A7251_6349258d50.jpg,TRENCH-COAT,2.0,"https://images.zen.com.tn/uploads/8_U2_A0078aa_457b36baba.jpg, https://images.zen.com.tn/uploads/8_U2_A0084aa_c52855b22c.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,V,Hiver/Froid
GILET,https://www.zen.com.tn/fr/produit/3835-gilet,3835.0,59.94 TND99.90 TND,59.94,TND,https://images.zen.com.tn/medias/folder_30_10_2024/8_U2_A9300_2bf7176c17.webp,GILET,3.0,"https://images.zen.com.tn/medias/folder_02_10_2024/8_U2_A4708aa_45ebdfd6f0.webp, https://images.zen.com.tn/medias/folder_02_10_2024/8_U2_A4725aa_6042b80f1c.webp, https://images.zen.com.tn/medias/folder_02_10_2024/8_U2_A4716aa_091bbdcb83.webp",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,O,Soirée/Event
CHEMISE,https://www.zen.com.tn/fr/produit/4547-chemise,4547.0,39.95 TND,39.95,TND,https://images.zen.com.tn/uploads/8_U2_A9091_bd5227483b.jpg,CHEMISE,1.0,https://images.zen.com.tn/uploads/8_U2_A3227a_21e746877a.jpg,Shirt,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,H,Work/Professionnel
CHEMISE,https://www.zen.com.tn/fr/produit/3609-chemise,3609.0,29.95 TND59.90 TND,29.95,TND,https://images.zen.com.tn/medias/images/8U2A7671.webp,CHEMISE,3.0,"https://images.zen.com.tn/medias/folder_23_08_2024/8_U2_A8554aa_7ed424487c.webp, https://images.zen.com.tn/medias/folder_23_08_2024/8_U2_A8563aa_37c584eb1f.webp, https://images.zen.com.tn/medias/folder_23_08_2024/8_U2_A8558aa_81f1b79124.webp",Shirt,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,H,Work/Professionnel
CARDIGAN,https://www.zen.com.tn/fr/produit/3718-cardigan,3718.0,48.93 TND69.90 TND,48.93,TND,https://images.zen.com.tn/medias/folder_19_09_2024/8_U2_A8916_400d38f36d.webp,CARDIGAN,1.0,https://images.zen.com.tn/medias/folder_25_10_2024/8_U2_A8866d_1715aa8a0b.webp,Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,O,Hiver/Froid
CARDIGAN,https://www.zen.com.tn/fr/produit/3745-cardigan,3745.0,34.95 TND,34.95,TND,https://images.zen.com.tn/medias/folder_21_10_2024/8_U2_A8095_0092a0b9db.webp,CARDIGAN,1.0,https://images.zen.com.tn/medias/folder_17_09_2024/8_U2_A7976d_1347b73049.webp,Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,O,Hiver/Froid
JOGGER,https://www.zen.com.tn/fr/produit/6286-jogger,6286.0,69.90 TND,69.9,TND,https://images.zen.com.tn/uploads/8_U2_A9448_bd804e0cb4.jpg,JOGGER,4.0,"https://images.zen.com.tn/uploads/8_U2_A3038aa_459c918bbd.jpg, https://images.zen.com.tn/uploads/8_U2_A3023aa_5bab748c93.jpg, https://images.zen.com.tn/uploads/8_U2_A3033aa_ef3d59e354.jpg, https://images.zen.com.tn/uploads/8_U2_A3030aa_97c2993a12.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,4,O,Casual
PULL,https://www.zen.com.tn/fr/produit/6288-pull,6288.0,45.90 TND,45.9,TND,https://images.zen.com.tn/uploads/8_U2_A3059_302ec7382a.jpg,PULL,3.0,"https://images.zen.com.tn/uploads/8_U2_A3066aa_991ad06a37.jpg, https://images.zen.com.tn/uploads/8_U2_A3071aa_95111926c8.jpg, https://images.zen.com.tn/uploads/8_U2_A3059aa_08a10b0770.jpg",Sweater,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,O,Hiver/Froid
ROBE,https://www.zen.com.tn/fr/produit/6033-robe,6033.0,79.90 TND,79.9,TND,https://images.zen.com.tn/uploads/8_U2_A5490_44ead35ec1.JPG,ROBE,2.0,"https://images.zen.com.tn/uploads/8_U2_A9507aa_e222cc010c.jpg, https://images.zen.com.tn/uploads/8_U2_A9513aa_e62fa5c92f.jpg",Dress,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,A,Soirée/Event
swaeat,https://www.zen.com.tn/fr/produit/6271-swaeat,6271.0,69.90 TND,69.9,TND,https://images.zen.com.tn/uploads/8_U2_A9647_058b8768bc.jpg,swaeat,2.0,"https://images.zen.com.tn/uploads/8_U2_A2645a_d2ab22772c.jpg, https://images.zen.com.tn/uploads/8_U2_A2636a_bbdf12eb55.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,O,Casual
PANTALON,https://www.zen.com.tn/fr/produit/6287-pantalon,6287.0,45.90 TND,45.9,TND,https://images.zen.com.tn/uploads/8_U2_A3044_dca0cf6ea9.jpg,PANTALON,3.0,"https://images.zen.com.tn/uploads/8_U2_A3044aa_08943fb938.jpg, https://images.zen.com.tn/uploads/8_U2_A3053aa_039dcf44fc.jpg, https://images.zen.com.tn/uploads/8_U2_A3048aa_9bfdfdf3c9.jpg",Pants,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,O,Work/Professionnel
SWEAT SHIRT,https://www.zen.com.tn/fr/produit/6282-sweat-shirt,6282.0,59.90 TND,59.9,TND,https://images.zen.com.tn/uploads/8_U2_A9567_96f3b42a38.jpg,SWEAT SHIRT,6.0,"https://images.zen.com.tn/uploads/8_U2_A2735a_2b9229990b.jpg, https://images.zen.com.tn/uploads/8_U2_A2718a_013532c8f2.jpg, https://images.zen.com.tn/uploads/8_U2_A2725a_682a28b739.jpg, https://images.zen.com.tn/uploads/8_U2_A2701a_9a1ac5b5d1.jpg, https://images.zen.com.tn/uploads/8_U2_A2694a_d1d3bcd811.jpg, https://images.zen.com.tn/uploads/8_U2_A2710a_8ff071a8e8.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,6,H,Casual
PANTALON,https://www.zen.com.tn/fr/produit/6247-pantalon,6247.0,62.93 TND89.90 TND,62.93,TND,https://images.zen.com.tn/uploads/8_U2_A1580_cec3acbc35.JPG,PANTALON,2.0,"https://images.zen.com.tn/uploads/8_U2_A1580a_0c78af0e78.jpg, https://images.zen.com.tn/uploads/8_U2_A1587a_b07cc9cfef.jpg",Pants,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,O,Work/Professionnel
SWEAT SHIRT,https://www.zen.com.tn/fr/produit/6272-sweat-shirt,6272.0,55.93 TND79.90 TND,55.93,TND,https://images.zen.com.tn/uploads/8_U2_A2650_fff18ccce2.JPG,SWEAT SHIRT,2.0,"https://images.zen.com.tn/uploads/8_U2_A2658a_f746a51bf8.jpg, https://images.zen.com.tn/uploads/8_U2_A2650a_356d593d6d.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,H,Casual
JACKET,https://www.zen.com.tn/fr/produit/6207-jacket,6207.0,41.93 TND,41.93,TND,https://images.zen.com.tn/uploads/8_U2_A1631_46ef45fc73.JPG,JACKET,1.0,https://images.zen.com.tn/uploads/8_U2_A1631aa_e65d09f4e2.jpg,Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,V,Casual
CARDIGANS,https://www.zen.com.tn/fr/produit/6253-cardigans,6253.0,48.93 TND69.90 TND,48.93,TND,https://images.zen.com.tn/uploads/8_U2_A2206_9a716c3104.jpg,CARDIGANS,2.0,"https://images.zen.com.tn/uploads/8_U2_A2206aa_dca80627b6.jpg, https://images.zen.com.tn/uploads/8_U2_A0831d_6a0002828f.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,O,Hiver/Froid
JOGGER,https://www.zen.com.tn/fr/produit/6229-jogger,6229.0,55.93 TND79.90 TND,55.93,TND,https://images.zen.com.tn/uploads/8_U2_A9586_dbbf292ea2.jpg,JOGGER,3.0,"https://images.zen.com.tn/uploads/8_U2_A0491z_0d754f68f9.jpg, https://images.zen.com.tn/uploads/8_U2_A0499z_1e32d258ef.jpg, https://images.zen.com.tn/uploads/8_U2_A0506a_6bf6888086.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,O,Casual
PANTALON,https://www.zen.com.tn/fr/produit/6198-pantalon,6198.0,55.93 TND,55.93,TND,https://images.zen.com.tn/uploads/8_U2_A9352_42ba7e2c6a.jpg,PANTALON,3.0,"https://images.zen.com.tn/uploads/8_U2_A1696aa_84aab94fe2.jpg, https://images.zen.com.tn/uploads/8_U2_A0053a_e8f05ee859.jpg, https://images.zen.com.tn/uploads/8_U2_A0304d_6bfe8390ef.jpg",Pants,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,O,Work/Professionnel
PANTALON,https://www.zen.com.tn/fr/produit/6209-pantalon,6209.0,55.93 TND79.90 TND,55.93,TND,https://images.zen.com.tn/uploads/8_U2_A9531_99fd93e8fa.jpg,PANTALON,3.0,"https://images.zen.com.tn/uploads/8_U2_A0155a_76e9356c22.jpg, https://images.zen.com.tn/uploads/8_U2_A0147a_c7b12433ba.jpg, https://images.zen.com.tn/uploads/8_U2_A0162a_54ac348821.jpg",Pants,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,O,Work/Professionnel
VESTE,https://www.zen.com.tn/fr/produit/6155-veste,6155.0,97.93 TND139.90 TND,97.93,TND,https://images.zen.com.tn/uploads/8_U2_A0186_f2f30ee1e3.JPG,VESTE,1.0,https://images.zen.com.tn/uploads/8_U2_A0186a_6368e9c395.jpg,Jacket,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,V,Work/Professionnel
CARDIGANS,https://www.zen.com.tn/fr/produit/6234-cardigans,6234.0,48.93 TND,48.93,TND,https://images.zen.com.tn/uploads/8_U2_A1134_189f2d86e6.JPG,CARDIGANS,2.0,"https://images.zen.com.tn/uploads/8_U2_A1138aa_d99cc42f6e.jpg, https://images.zen.com.tn/uploads/8_U2_A1144aa_feed32dc8b.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,O,Hiver/Froid
SWEAT SHIRT,https://www.zen.com.tn/fr/produit/6223-sweat-shirt,6223.0,48.93 TND69.90 TND,48.93,TND,https://images.zen.com.tn/uploads/8_U2_A9453_0873920a5f.jpg,SWEAT SHIRT,1.0,https://images.zen.com.tn/uploads/8_U2_A0409a_c0a48ebcca.jpg,Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,H,Casual
DEBARDEUR,https://www.zen.com.tn/fr/produit/6076-debardeur,6076.0,41.93 TND59.90 TND,41.93,TND,https://images.zen.com.tn/uploads/8_U2_A6520_051c3759a2.JPG,DEBARDEUR,2.0,"https://images.zen.com.tn/uploads/8_U2_A3820aa_693734c1e3.jpg, https://images.zen.com.tn/uploads/8_U2_A3829aa_3ce84df7f3.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,O,Sport
PULL-OVER,https://www.zen.com.tn/fr/produit/5982-pull-over,5982.0,46.13 TND,46.13,TND,https://images.zen.com.tn/uploads/8_U2_A6009_c971420102.JPG,PULL-OVER,2.0,"https://images.zen.com.tn/uploads/8_U2_A9975aa_86e22d803d.jpg, https://images.zen.com.tn/uploads/8_U2_A9982aa_e90f31e7ad.jpg",Sweater,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,O,Hiver/Froid
TUNIQUE,https://www.zen.com.tn/fr/produit/6091-tunique,6091.0,48.93 TND69.90 TND,48.93,TND,https://images.zen.com.tn/uploads/8_U2_A4329_013d41d0b9.JPG,TUNIQUE,2.0,"https://images.zen.com.tn/uploads/8_U2_A4329aa_f50f8e49d1.jpg, https://images.zen.com.tn/uploads/8_U2_A4336aa_0ccbe15bf2.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,H,Chic/Élégant
TUNIQUE,https://www.zen.com.tn/fr/produit/5984-tunique,5984.0,48.93 TND69.90 TND,48.93,TND,https://images.zen.com.tn/uploads/8_U2_A9952_8b480a6d37.jpg,TUNIQUE,1.0,https://images.zen.com.tn/uploads/8_U2_A9961aa_896a4d32fa.jpg,Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,H,Chic/Élégant
TUNIQUE,https://www.zen.com.tn/fr/produit/6092-tunique,6092.0,48.93 TND,48.93,TND,https://images.zen.com.tn/uploads/8_U2_A4307_aff228244c.JPG,TUNIQUE,2.0,"https://images.zen.com.tn/uploads/8_U2_A4310aa_90a546f1a6.jpg, https://images.zen.com.tn/uploads/8_U2_A4324aa_bb18d59f7e.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,H,Chic/Élégant
TUNIQUE,https://www.zen.com.tn/fr/produit/5985-tunique,5985.0,48.93 TND69.90 TND,48.93,TND,https://images.zen.com.tn/uploads/8_U2_A9964_f8dbb34ac6.JPG,TUNIQUE,1.0,https://images.zen.com.tn/uploads/8_U2_A9968aa_78874dbe2d.jpg,Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,H,Chic/Élégant
PULL,https://www.zen.com.tn/fr/produit/6174-pull,6174.0,48.93 TND69.90 TND,48.93,TND,https://images.zen.com.tn/uploads/8_U2_A0521_084292dfba.JPG,PULL,3.0,"https://images.zen.com.tn/uploads/8_U2_A0530aa_72a009d425.jpg, https://images.zen.com.tn/uploads/8_U2_A0536aa_322e618257.jpg, https://images.zen.com.tn/uploads/8_U2_A0521aa_b80b24c796.jpg",Sweater,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,O,Hiver/Froid
PANTALON,https://www.zen.com.tn/fr/produit/6186-pantalon,6186.0,55.93 TND,55.93,TND,https://images.zen.com.tn/uploads/8_U2_A0243_21b91ddf9f.JPG,PANTALON,1.0,https://images.zen.com.tn/uploads/8_U2_A0243a_7e61a28f32.jpg,Pants,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,O,Work/Professionnel
PANTALON,https://www.zen.com.tn/fr/produit/6118-pantalon,6118.0,46.13 TND65.90 TND,46.13,TND,https://images.zen.com.tn/uploads/8_U2_A5770_42c8d1b6dd.JPG,PANTALON,3.0,"https://images.zen.com.tn/uploads/8_U2_A5021aa_75daaeff16.jpg, https://images.zen.com.tn/uploads/8_U2_A5014aa_404c48e075.jpg, https://images.zen.com.tn/uploads/8_U2_A5007aa_d35f9b6cfc.jpg",Pants,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,O,Work/Professionnel
SWEAT SHIRT,https://www.zen.com.tn/fr/produit/6175-sweat-shirt,6175.0,48.93 TND69.90 TND,48.93,TND,https://images.zen.com.tn/uploads/8_U2_A9655_2f5331232e.jpg,SWEAT SHIRT,2.0,"https://images.zen.com.tn/uploads/8_U2_A0540aa_582d4b078c.jpg, https://images.zen.com.tn/uploads/8_U2_A1523a_b75f6bbb9a.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,H,Casual
SWEAT SHIRT,https://www.zen.com.tn/fr/produit/6190-sweat-shirt,6190.0,48.93 TND,48.93,TND,https://images.zen.com.tn/uploads/8_U2_A1584_7a61b6c18f.JPG,SWEAT SHIRT,2.0,"https://images.zen.com.tn/uploads/8_U2_A1593aa_554c410bcd.jpg, https://images.zen.com.tn/uploads/8_U2_A1587aa_9934576bd9.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,H,Casual
SWEAT SHIRT,https://www.zen.com.tn/fr/produit/6161-sweat-shirt,6161.0,55.93 TND79.90 TND,55.93,TND,https://images.zen.com.tn/uploads/8_U2_A0152_0df49464d3.JPG,SWEAT SHIRT,2.0,"https://images.zen.com.tn/uploads/8_U2_A0152a_bf27d6bc5b.jpg, https://images.zen.com.tn/uploads/8_U2_A0158a_b4606616bc.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,H,Casual
PULL OVER,https://www.zen.com.tn/fr/produit/5913-pull-over,5913.0,46.13 TND65.90 TND,46.13,TND,https://images.zen.com.tn/uploads/8_U2_A8966_8f04a42487.jpg,PULL OVER,2.0,"https://images.zen.com.tn/uploads/8_U2_A6828a_362a46fa10.jpg, https://images.zen.com.tn/uploads/8_U2_A6820a_3a80fec1b7.jpg",Sweater,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,O,Hiver/Froid
PANTALON,https://www.zen.com.tn/fr/produit/6179-pantalon,6179.0,55.93 TND,55.93,TND,https://images.zen.com.tn/uploads/8_U2_A0065_997d5c0c0d.JPG,PANTALON,3.0,"https://images.zen.com.tn/uploads/8_U2_A0281a_9ba544df69.jpg, https://images.zen.com.tn/uploads/8_U2_A0300a_e417b43b21.jpg, https://images.zen.com.tn/uploads/8_U2_A0291a_2294ff0843.jpg",Pants,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,O,Work/Professionnel
